ID,Kode_Provinsi,Nama_Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,Jumlah_Penduduk_Miskin,Satuan,Tahun
493,32,JAWA BARAT,3207,KABUPATEN CIAMIS,91.39,RIBU JIWA,2020
494,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,139.2,RIBU JIWA,2020
495,32,JAWA BARAT,3209,KABUPATEN CIREBON,247.94,RIBU JIWA,2020
496,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,138.21,RIBU JIWA,2020
497,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,118.38,RIBU JIWA,2020
498,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,220.31,RIBU JIWA,2020
499,32,JAWA BARAT,3213,KABUPATEN SUBANG,149.81,RIBU JIWA,2020
500,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,80.17,RIBU JIWA,2020
501,32,JAWA BARAT,3215,KABUPATEN KARAWANG,195.41,RIBU JIWA,2020
502,32,JAWA BARAT,3216,KABUPATEN BEKASI,186.3,RIBU JIWA,2020
503,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,179.46,RIBU JIWA,2020
504,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,36.05,RIBU JIWA,2020
505,32,JAWA BARAT,3271,KOTA BOGOR,75.04,RIBU JIWA,2020
506,32,JAWA BARAT,3272,KOTA SUKABUMI,25.42,RIBU JIWA,2020
507,32,JAWA BARAT,3273,KOTA BANDUNG,100.02,RIBU JIWA,2020
508,32,JAWA BARAT,3274,KOTA CIREBON,30.61,RIBU JIWA,2020
509,32,JAWA BARAT,3275,KOTA BEKASI,134.01,RIBU JIWA,2020
510,32,JAWA BARAT,3276,KOTA DEPOK,60.43,RIBU JIWA,2020
511,32,JAWA BARAT,3277,KOTA CIMAHI,31.64,RIBU JIWA,2020
512,32,JAWA BARAT,3278,KOTA TASIKMALAYA,86.13,RIBU JIWA,2020
513,32,JAWA BARAT,3279,KOTA BANJAR,11.16,RIBU JIWA,2020
